car_model,car_brand,car_full_name,registration_year,km_to_date,sale_price,fuel_type,transmission_type,sale_picture_link
c4,citroen,citroen grand c4 spacetourer 1.5 bluehdi feel,2019,68000,24900,diesel,manual,https://ireland.apollo.olxcdn.com/v1/files/eyjmbii6ijfsddh2dw9xcnb6oditu1revlrmufqifq.7ekwxcturgbuvezfmyyaiw-a-nbtabcd52gv7yxly7o/image;s=320x240
c4,citroen,citroen e-c4 feel pack,2022,14500,32950,electrico,automatica,https://ireland.apollo.olxcdn.com/v1/files/eyjmbii6imh2adlhzzfrytyyztetu1revlrmufqifq.uwlyrlp_hrrfkixitx_wp62t4d8wonikx1emh90ocvy/image;s=320x240
c4,citroen,citroen grand c4 spacetourer 1.5 bluehdi c-series,2021,43045,28950,diesel,manual,https://ireland.apollo.olxcdn.com/v1/files/eyjmbii6inzuyjmxzzf0cjr6dzitu1revlrmufqifq.s25bgq1bkxmrodq1edlqojutcomoab5fjpicvgrm_4w/image;s=320x240
c3,citroen,citroen c3 1.2 puretech shine,2021,58050,15980,gasolina,manual,https://ireland.apollo.olxcdn.com/v1/files/eyjmbii6ijq2aw9lyzbumxn6ctmtu1revlrmufqifq.ony8rejvxx0iwowttl0i4qq4ey3d_71cid1eqjffgfq/image;s=320x240
a6,audi,audi a6 avant 40 tdi sport s tronic,2021,33652,50300,diesel,automatica,https://ireland.apollo.olxcdn.com/v1/files/eyjmbii6im1jbnl5bnm3amhwnc1tverwvexqvcj9.myenct6qrjw7upi5r7wzd4bqo5ggaybkt6yfeedzjki/image;s=320x240
q5,audi,audi q5 35 tdi advanced s tronic,2023,15000,59990,diesel,automatica,https://ireland.apollo.olxcdn.com/v1/files/eyjmbii6imtjzghwmg8ymxdjbzmtu1revlrmufqifq.wxtibfoefnlc0lgik9avdgmepm3fxk1fx4jny00t154/image;s=320x240
a4,audi,audi a4 avant 2.0 tdi s-line,2016,185000,27950,diesel,manual,https://ireland.apollo.olxcdn.com/v1/files/eyjmbii6ijmxnwowmzzhdgu2zdetu1revlrmufqifq.cp4ax8kid03sp6n8rrauslghbi4c9qay1o_6x-5fncy/image;s=320x240
tt,audi,audi tt roadster 2.0 tfsi,2008,123000,18700,gasolina,manual,https://ireland.apollo.olxcdn.com/v1/files/eyjmbii6injwz3p5cnrqcze0dtetu1revlrmufqifq.nzer9pqhakjvzdswgkm_uksndg8ti3yoddm_u9pgexw/image;s=320x240
a5,audi,audi a5 sportback 2.0 tdi multitronic,2015,161236,26250,diesel,automatica,none
c3,citroen,citroen c3 1.2 puretech feel,2018,80710,14250,gasolina,manual,none
c4,citroen,citroen c4 grand picasso 1.6 hdi exclusive,2007,228000,7850,diesel,manual,https://ireland.apollo.olxcdn.com/v1/files/eyjmbii6ijgwmhjmcdmzdm5xzy1tverwvexqvcj9.251ixk_cqykwhnh2jazs1_4c7mxo53w2idihzol8170/image;s=320x240
c4,citroen,citroen c4 cactus 1.5 bluehdi shine,2020,20000,17950,diesel,manual,https://ireland.apollo.olxcdn.com/v1/files/eyjmbii6ijdsdne4chp5cnfwmdmtu1revlrmufqifq.wrgf2hwgsd7v0uj0fxg5yssc1adfdj39jqtgxo1lbqi/image;s=320x240
ds5,citroen,citroen ds5 1.6 bluehdi chic,2015,145000,13600,diesel,manual,https://ireland.apollo.olxcdn.com/v1/files/eyjmbii6iny4z25rcmwyymq2btetu1revlrmufqifq.asu_hbr9hifoesaczanfjopgedfvruqn0sgrfden5hk/image;s=320x240
