car_model,car_brand,car_full_name,registration_year,km_to_date,sale_price,fuel_type,transmission_type,sale_picture_link
clio,renault,renault clio 0.9 tce zen,2018,32000,13990,gasolina,manual,https://ireland.apollo.olxcdn.com/v1/files/eyjmbii6ijlxa2iycxrummhlzditu1revlrmufqifq.jbs7e5nrt7ybrvkulodwfwxydn9ur5nn3c76v1pnk-o/image;s=320x240
clio,renault,renault clio 1.5 dci zen,2018,88000,13490,diesel,manual,https://ireland.apollo.olxcdn.com/v1/files/eyjmbii6imq3mjl2dmrjegezbtitu1revlrmufqifq.67l5dbeilgprqfefcalcuwlachbxgqzr0zp1a4scjri/image;s=320x240
polo,vw,vw polo 1.4 tsi bluegt,2016,89031,15000,gasolina,manual,https://ireland.apollo.olxcdn.com/v1/files/eyjmbii6im56zgtzewv0mw5xbdmtu1revlrmufqifq.mjg0jev8mhxqv7yoz7irw3pyh9atmml5e4qwa3ozzoo/image;s=320x240
clio,renault,renault clio 1.0 tce evolution bi-fuel,2020,18000,18000,gasolina,manual,https://ireland.apollo.olxcdn.com/v1/files/eyjmbii6ijzybxr3m2drzhu2ds1tverwvexqvcj9.eyharmzl_mfso61ynmojg5uex6a-uunuxrvl8w1u9ms/image;s=320x240
clio,renault,renault clio 1.5 dci limited edition,2018,115000,14250,diesel,manual,none
clio,renault,renault clio 1.0 tce rs line,2022,29589,22740,gasolina,manual,none
polo,vw,vw polo 1.0 tsi life,2023,1400,22500,gasolina,manual,none
clio,renault,renault clio 1.0 tce limited,2021,63834,17790,gasolina,manual,https://ireland.apollo.olxcdn.com/v1/files/eyjmbii6ijhzmhjxd2jmoglvndmtu1revlrmufqifq.dqd2tyaygfxrwtswfgn_6t9z-f-ufg1ljiiij0y63og/image;s=320x240
polo,vw,vw polo 1.0 tsi confortline,2021,46045,18400,gasolina,manual,https://ireland.apollo.olxcdn.com/v1/files/eyjmbii6ijbhanz0am9xbjzybjmtu1revlrmufqifq.z6pro_aej0tsclelbqvob1unmai5tpxzisavxaqsbaq/image;s=320x240
clio,renault,renault clio 0.9 tce confort,2017,14540,13500,gasolina,manual,https://ireland.apollo.olxcdn.com/v1/files/eyjmbii6inp2ndvtngf6cnnvzy1tverwvexqvcj9.pgvolm9rij4yr3e4ykqol4t-ef03s1ggsknwucrg1vo/image;s=320x240
