car_model,car_brand,car_full_name,registration_year,km_to_date,sale_price,fuel_type,transmission_type,sale_picture_link,car_age,km_age_ratio
c3,citroen,citroen c3 1.2 puretech feel,2019,37000,16900,gasolina,manual,https://ireland.apollo.olxcdn.com/v1/files/eyjmbii6imtzd3bmznnynzdzdjitu1revlrmufqifq.t9mvd2_vitkc00bt_xbrizmjjjetgol-emep2uggxmg/image;s=320x240,4,9250.0
c3,citroen,citroen c3 1.2 puretech feel,2019,40000,16750,gasolina,manual,https://ireland.apollo.olxcdn.com/v1/files/eyjmbii6imz1chq3og96nm83cjmtu1revlrmufqifq.5ahb88b6qqcqpykgo6oqnfldclykqkpuzgch4nvvge0/image;s=320x240,4,10000.0
c3,citroen,citroen c3 1.0 puretech confort,2013,101955,10650,gasolina,manual,none,10,10195.5
c3,citroen,citroen c3 1.2 puretech shine,2017,142000,12900,gasolina,manual,none,6,23666.666666666668
c3,citroen,citroen c3 aircross 1.5 bluehdi c-series,2022,35001,24000,diesel,manual,https://ireland.apollo.olxcdn.com/v1/files/eyjmbii6ijrxanjxowhndthmmditu1revlrmufqifq.qigfjncwecio-wjo5ei2j6uaclkc43iz8yka0_lhq64/image;s=320x240,1,35001.0
c3,citroen,citroen c3 aircross puretech 130 stop & start eat6 opf shine pack,2020,79000,18900,gasolina,automatica,https://ireland.apollo.olxcdn.com/v1/files/eyjmbii6imh4ngmwm3piy2z5bjitu1revlrmufqifq.x3oz3nds2-nb4fgxhfqtrv90pyuhc2dcuzqil-sfvuu/image;s=320x240,3,26333.333333333332
c3,citroen,citroen c3 1.2 puretech c-series,2023,4500,18000,gasolina,manual,none,0,inf
a1,audi,audi a1 1.6 tdi s line edition,2011,292700,11500,diesel,manual,https://ireland.apollo.olxcdn.com/v1/files/eyjmbii6imxmbtnwbzn0d3e3czetu1revlrmufqifq.b4zbgkl2efnpbfjxmjs-vmqeklhb4pbebgwupb4al3s/image;s=320x240,12,24391.666666666668
a1,audi,audi a1 sportback 25 tfsi advanced,2021,62000,20900,gasolina,manual,none,2,31000.0
c3,citroen,citroen c3 1.5 bluehdi feel pack,2022,19622,18990,diesel,manual,none,1,19622.0
c3,citroen,citroen c3 aircross 1.5 bluehdi c-series,2022,27953,20990,diesel,manual,none,1,27953.0
